Molecular,row.ID,row.m.z,row.retention.time,DC_1.Peak.area,DC_2.Peak.area,DC_3.Peak.area,DC_4.Peak.area,DC_5.Peak.area,DC_6.Peak.area,DE_1.Peak.area,DE_2.Peak.area,DE_3.Peak.area,DE_4.Peak.area,DE_5.Peak.area,DE_6.Peak.area,RC_1.Peak.area,RC_2.Peak.area,RC_3.Peak.area,RC_4.Peak.area,RC_5.Peak.area,RC_6.Peak.area,RE_1.Peak.area,RE_2.Peak.area,RE_3.Peak.area,RE_4.Peak.area,RE_5.Peak.area,RE_6.Peak.area,U_1.Peak.area,U_2.Peak.area,U_3.Peak.area,U_4.Peak.area,U_5.Peak.area,U_6.Peak.area,NA.,ID_Ranked,Intensity_Ranked,Class_At_Max_Intensity,Adduct_At_Max_Intensity,Only_One_Class,Molecular,Adducts Confirmed by MS/MS
acylPG(18:0_18:1_16:0),271,1032.818885,20.64306667,36396936.27,36899869.72,34071496.79,38471748.02,36732339.87,35824860.51,27376117.31,25255735.61,25349670.76,27398329.52,28871041.7,28290310.51,36833464.97,36295712.34,38487710.64,37732507.55,37526205.81,35102802.94,29780935.18,28615232.67,27670761.36,26434434.52,26161155.07,28263574.2,0,0,0,0,805661.3061,0,NA,1_acylPG(18:0_18:1_16:0)+NH4 | 1_acylPG(16:0_20:1_16:0)+NH4 | 1_acylPG(16:0_18:1_18:0)+NH4 | 1_acylPG(16:1_18:0_18:0)+NH4,1290494.45 | 1258472.76 | 1011339.55 | 966012.79,acylPG,[M+NH4]+,Yes,acylPG(18:0_18:1_16:0),[M+NH4]+
LPC(16:0),487,496.3391444,5.6814,402367.3812,148582.006,924346.0756,736304.2174,161144.6954,276986.2324,168012.9815,131430.1945,346476.979,156995.4776,285693.0906,182123.0669,2135677.397,1246891.256,1680813.766,339290.8786,499038.1809,255402.4911,0,16249885.17,140490.752,0,0,0,70797767.39,70860654.76,70859478.94,72730685.24,69426242.54,64983840.03,NA,1_LPC(16:0)+H,1127659.198,LPC,[M+H]+,Yes,LPC(16:0),[M+H]+
LPC(18:0),407,524.3706369,7.885266667,0,0,0,0,0,0,137996.339,312630.0528,417217.0583,367051.5444,43251.71415,0,282766.6465,0,0,0,0,0,0,4887714.458,0,0,0,0,127545100.4,128766802.2,126111835.8,127127958.6,125165168.7,116308936.8,NA,1_LPC(18:0)+H,1506048.525,LPC,[M+H]+,Yes,LPC(18:0),[M+H]+
LPC(18:1),624,522.354953,5.892133333,2470597.122,4280068.443,5133731.377,4774139.408,3282467.957,2235565.86,876599.124,466807.7032,1283206.622,321226.6808,953329.5885,345426.7047,8272735.216,6791018.484,8065915.72,4659879.083,7084842.473,4328197.446,1127006.438,4108171.897,1301487.453,587016.9186,1721988.836,0,0,0,1896240.253,0,2571668.233,0,NA,1_LPC(18:1)+H,449432.2,LPC,[M+H]+,Yes,LPC(18:1),[M+H]+
PC(15:0_18:1),66,790.5578495,15.8806,48866356.68,39846096.11,43937940.52,43108560.72,38187567.49,40410110.68,39158956.3,36420119.36,41399217.04,34959941.22,36299104.67,42204955.86,43590300.58,46577925.6,45550317.08,41932605.65,45893112.79,46123254.38,39863473.3,39453479.01,39778563.69,35559011.57,37814615.57,36398467.91,3129285.194,3242427.939,2942334.454,3271413.135,3353980.089,2647302.903,NA,1_PC(15:0_18:1)+HCO2 | 1_PC(16:0_17:1)+HCO2,281270.43 | 88000.79,PC,[M+HCO2]-,Yes,PC(15:0_18:1),[M+HCO2]-|[M+H]+
PC(15:0_16:0),173,720.5529448,15.61606667,226775801.5,218946306.7,209385345.1,229780182.6,214503981.8,219406881.8,212855369.8,190831626.7,219202130.8,205171210.2,205253890.3,223229612.6,210266568.1,219167380.4,219371616.5,223312230.1,221842947.3,217928436.8,213353166.6,218476285.4,212953737.1,197243772.2,198771285.5,209364094.1,35251393.23,35119034.1,32037294.03,31632890.06,37069264.85,32510756.94,NA,1_PC(15:0_16:0)+H,21941506.39,PC,[M+H]+,Yes,PC(15:0_16:0),[M+H]+
PC(16:0_16:0),98,778.5576172,16.17821667,234285047.6,215526193,233090131.4,226304094.8,209132421.8,219250870.8,230675356.4,209872403.9,229047826.8,205918290.9,209496509,230134956.7,230249292.6,243217609,239631725.5,220744738.7,238831266,236710386.9,213154513.5,216190609.2,221780535.7,198753041.1,218509303.5,204738878.7,56148834.91,57629417.58,56227666.79,57700841.5,65408255.56,51379659.27,NA,1_PC(16:0_16:0)+HCO2,628802.41,PC,[M+HCO2]-,Yes,PC(16:0_16:0),[M+HCO2]-|[M+H]+
PC(16:0_20:4),82,826.5578628,15.38365,40697577.18,33472506.44,33308550.88,32963015.37,31254684.92,35373325.91,35623702.55,33787050.47,36565965.86,29869757.9,31838496.06,38508219.86,26340175.86,29655549.78,25031644.1,31775171.13,30233233.95,33357361.72,33032241.94,30249198.16,32293480.38,28254480.64,31609386.65,30937169.01,5144506.534,5352458.726,4547690.852,4477573.563,4531728.693,4205399.107,NA,1_PC(16:0_20:4)+HCO2 | 1_PC(18:2_18:2)+HCO2,969942.01 | 316452.27,PC,[M+HCO2]-,Yes,PC(16:0_20:4),[M+HCO2]-|[M+H]+
PC(16:0_18:0),101,806.5891446,17.1964,70326277.37,60019427.61,66574026.78,66619663.33,57928375.08,60871034.21,67582346.76,58778382.95,65542293.39,57821616.06,55802326.03,65725340.94,61211987.73,68393546.9,65596926.26,61436100.4,68358373.73,64762496.9,57910387.91,57477177.61,59120267.77,52522714.21,60191114.87,55332599.07,19119806.61,18419607.61,19959714.68,19657979.87,20812577.26,17188932.7,NA,1_PC(16:0_18:0)+HCO2,1242622.81,PC,[M+HCO2]-,Yes,PC(16:0_18:0),[M+HCO2]-|[M+H]+
PC(16:0_18:2),218,802.5577427,15.68218333,254200910.7,220986449.8,233744590.7,224015069.4,211553065.2,228140060.8,230803384.3,211010754.6,234610145.1,205306668.5,204512030.4,241286596.9,215554384.9,231755151.3,217173138.8,218349884.6,243257631.5,241875923,216649709.9,212747760.7,221944885.1,200685818.7,220611701.1,199608068.9,278920605.2,281508411.6,274747551.6,275245848.2,310224402.1,257537709.6,NA,1_PC(16:0_18:2)+HCO2 | 1_PC(16:1_18:1)+HCO2,10666910.66 | 2600273.86,PC,[M+HCO2]-,Yes,PC(16:0_18:2),[M+HCO2]-|[M+H]+
