Molecular,row.ID,row.m.z,row.retention.time,DC_1.Peak.area,DC_2.Peak.area,DC_3.Peak.area,DC_4.Peak.area,DC_5.Peak.area,DC_6.Peak.area,DE_1.Peak.area,DE_2.Peak.area,DE_3.Peak.area,DE_4.Peak.area,DE_5.Peak.area,DE_6.Peak.area,RC_1.Peak.area,RC_2.Peak.area,RC_3.Peak.area,RC_4.Peak.area,RC_5.Peak.area,RC_6.Peak.area,RE_1.Peak.area,RE_2.Peak.area,RE_3.Peak.area,RE_4.Peak.area,RE_5.Peak.area,RE_6.Peak.area,U_1.Peak.area,U_2.Peak.area,U_3.Peak.area,U_4.Peak.area,U_5.Peak.area,U_6.Peak.area,NA.,ID_Ranked,Intensity_Ranked,Class_At_Max_Intensity,Adduct_At_Max_Intensity,Only_One_Class,Molecular,Adducts Confirmed by MS/MS
Plasmenyl-PC(P-16:1/18:1),164,742.5725248,16.22995,16234842.33,16787859.96,12510485.13,16687869.19,14026083.89,15665740.78,12664107.19,11719014.83,16669865.76,11959314.24,13678552.52,14108616.58,10157376.16,12904176.7,10925981.41,15812322.77,15597976.02,13742551.08,13944844.86,11357120.64,15873645.79,14809403.65,12177383.37,15356696.24,113012730,124096254,112562756.5,124062378.1,110468314.5,108787572.1,NA,1_Plasmenyl-PC(P-16:1/18:1)+H | 1_Plasmanyl-PC(O-16:1/18:2)+H | 1_Plasmenyl-PC(P-16:0/18:2)+H | 1_Plasmanyl-PC(O-16:0/18:3)+H,7409374.47 | 7271724.29 | 7259406.58 | 7134253.58,ether-PC,[M+H]+,No,Plasmenyl-PC(P-16:1/18:1),[M+H]+
Plasmenyl-PE(P-16:0/20:4),58,722.5107747,16.5536,4476960.097,2887009.687,3303265.675,3855231.023,3450782.516,3485322.041,3253102.313,3529499.618,3867746.287,3235060.391,3442977.251,4196061.587,1611831.386,2377567.97,2013276.951,3457529.004,2971608.892,3303834.146,3312629.123,3216508.514,3356980.587,2696597.779,3238921.699,2961011.265,47981252.71,47506109.44,41592861.54,46419751.48,45158886.36,44559889.56,NA,1_Plasmenyl-PE(P-16:0/20:4)-H,311596.81,ether-PE,[M-H]-,Yes,Plasmenyl-PE(P-16:0/20:4),[M-H]-|[M+H]+
Plasmenyl-PE(P-18:1/18:1),754,728.5579235,17.45063333,139403.7479,270675.1587,426369.5541,308685.6896,537710.3927,261586.8922,0,180477.1987,522723.0038,778125.5652,128193.0655,729623.5269,371500.5422,562565.7151,463197.968,0,518177.416,78132.15203,276243.3006,456805.0559,642931.5098,223480.0098,0,340093.1848,53690293.85,59102599.05,49952319.93,58913394.23,50268118.62,51603293.64,NA,1_Plasmenyl-PE(P-18:1/18:1)+H | 3_Plasmanyl-PE(36:3)+H,1185711.7 | 431394.27,ether-PE,[M+H]+,Yes,Plasmenyl-PE(P-18:1/18:1),[M+H]+
PS(16:0_18:1),539,762.5271394,15.17601667,11310470.51,8923022.037,7290092.43,10697846.87,9268224.202,10308363.23,14915866.11,12002028.87,14025901.25,11161335.47,10290843.46,12786406.3,7412088.555,9373105.267,7499650.179,10693226.1,11825362.25,10546835.1,18109540.05,16393870.58,13778223.81,10595397.75,11856957.67,16380276.32,650217.3898,744654.2753,0,0,0,1344885.828,NA,1_PS(16:0_18:1)+H | 3_PS(34:1)+H,533567.08 | 496239.8,PS,[M+H]+,Yes,PS(16:0_18:1),[M+H]+
PS(18:0_22:4),215,840.5734067,16.33043333,4090493.531,2431324.696,1541302.203,3120302.556,2766945.878,2546276.951,4873261.28,3746094.549,4637688.196,3719413.974,3012358.617,3662723.343,1972165.721,2312424.392,1563239.73,2385316.377,2713982.041,2970444.817,5741228.188,4515378.565,3754849.469,2988382.415,3128741.535,4811488.943,61371618.39,49863886.88,26324312.09,57431093.25,27981075.43,49992667.58,NA,1_PS(18:0_22:4)+H | 3_PS(40:4)+H,682663.03 | 664373.8,PS,[M+H]+,Yes,PS(18:0_22:4),[M+H]+
PS(18:0_20:4),234,812.5423672,15.57578333,27308783.04,21859671.5,13977591.19,21808148.28,19773556.93,23492651.87,29437978.37,24800726.79,29154058.41,20819867.52,22114975.74,26440939.08,10237813.95,16539938.8,11160891.09,18897752.87,24175435.54,19688187.65,38498639.29,30884573.88,27975921.56,25390919.33,24761336.63,34795407.94,284976346.6,233538736.8,103969955,246575664.6,128438651,226895093.6,NA,1_PS(18:0_20:4)+H | 3_PS(38:4)+H | 3_PS(36:1)+Na,3612767.55 | 2922848.6 | 551730.38,PS,[M+H]+,Yes,PS(18:0_20:4),[M+H]+
PS(18:0_22:5),265,838.5582604,15.69468333,11720463.06,11154301.05,6161617.583,11806037.77,9959973.872,13124115.22,15200082.34,11416889.2,15398249.32,11544672.64,11918908.79,13462372.09,5106462.715,6923491.555,4256353.614,10909998.29,11158509.47,9987200.439,18074392.05,15867854.82,13316532.86,11502684.34,11839945.08,17220066.03,77047703.53,68646727.29,35607957.71,82604438.98,42230721.21,62188894.07,NA,1_PS(18:0_22:5)+H | 3_PS(40:5)+H,959073.48 | 941756.9,PS,[M+H]+,Yes,PS(18:0_22:5),[M+H]+
PS(18:0_20:3),289,814.5581178,15.93286667,6257943.973,3787227.931,3006054.701,5844455.893,3868814.698,5276244.628,6936353.097,5348689.724,7439771.1,5430573.001,4087025.38,5588076.7,3406965.257,4839832.581,2247493.654,5045653.266,4299148.882,5509499.289,9107935.444,7246087.341,7840557.987,4646118.882,6043363.8,10381540.88,42214958.17,32790599.44,16334838.23,38420638.65,17488816.28,33547753.28,NA,1_PS(18:0_20:3)+H | 3_PS(38:3)+H,824868.58 | 799925,PS,[M+H]+,Yes,PS(18:0_20:3),[M+H]+
PS(18:0_18:2),307,788.5426988,15.55578333,53723057.32,43496563.01,29183657.06,48730596.61,45009437.96,47770437.5,72807355.8,56816901.05,68035728.56,51778316.8,51993454.98,56120365,35124468.57,38484763.21,29910775.44,45887885.25,50563437.7,44255992.58,83312621.48,75536125.85,62768955.95,54553944.28,55161680.15,81541653.61,20686862.67,16647777.58,6540029.801,18005657.6,8682472.321,16416448.43,NA,1_PS(18:0_18:2)+H | 1_PS(18:1_18:1)+H | 3_PS(36:2)+H,3742105.7 | 3687696.41 | 3589776.5,PS,[M+H]+,Yes,PS(18:0_18:2),[M+H]+
PS(18:0_18:1),329,790.5584176,16.26946667,103708093.7,90209839.01,57478352.93,92767470.46,79570900.99,97583557.65,129803241.5,94813139.36,111271468.1,98031621.07,91171891.27,99872164.41,76929112.4,70556807.74,64430193.81,88590830.67,96291404.79,86823403.21,142165563.8,137540066.5,111853075.3,88903939.23,92374245.19,134719156.2,49034476.28,39344300.62,21127666.83,41741489.44,25120584.53,37951833.53,NA,1_PS(18:0_18:1)+H | 3_PS(36:1)+H,2296829.43 | 2107705,PS,[M+H]+,Yes,PS(18:0_18:1),[M+H]+
SM(d18:1/16:0),112,703.5741805,14.89513333,216029454.3,221032835.2,210177601.5,236002068.3,206997237.4,220748202.6,189831370.1,173873741.5,195753473.8,186539366.8,202169817.4,204169847.2,220149322.3,213912537.8,219370589,226483337.8,218086251.1,212227486.8,186646766.1,202261023.4,191062035.9,182514557.9,177609243.5,188363270.7,6891772200,6872619402,7427416854,7336564946,6995306418,6620392235,NA,1_SM(d18:1/16:0)+H,99328853,SM,[M+H]+,Yes,SM(d18:1/16:0),[M+H]+
TG(14:0_18:1_18:2),38,846.7531787,22.28695,16994908.87,14897241.6,15284548.09,16604568.26,14843885.88,14382959.26,15608481.66,14354553.12,15150328.68,13513972.14,14043273.2,14068217.85,13714868.86,16452444.21,14722574.86,14853606.61,15855558.9,17265192.58,12955739.93,15779452.6,13932376.73,12715265.16,14059528.04,14745842.17,0,0,0,0,0,0,NA,1_TG(14:0_18:1_18:2)+NH4 | 1_TG(16:1_16:1_18:1)+NH4,554487.73 | 409401.12,TG,[M+NH4]+,Yes,TG(14:0_18:1_18:2),[M+NH4]+
TG(15:0_16:0_18:1),39,836.7689559,22.70901667,14862549.39,12979888.21,14389007.77,14578019.56,13901591.37,13067131.28,11976563.25,12439395.67,13381788.63,11820887.8,12283640.25,12085559.02,14279385.92,15147627.37,15743354.48,14847515.71,16263343.79,15674673.78,10989966.99,16569243.16,12520310.91,12490229.39,13574647.86,13051924.8,0,0,0,0,0,0,NA,1_TG(15:0_16:0_18:1)+NH4,465152.34,TG,[M+NH4]+,Yes,TG(15:0_16:0_18:1),[M+NH4]+
TG(16:0_18:1_22:5),2,924.7998214,22.52831667,102926461.4,89080505.74,73724454.72,72678504.88,80487877.31,90229428.23,93799975.17,84885557.78,90114639.58,84164910.36,81822364.11,82927085.84,45647285.68,61078526.54,44455130.79,73065882.71,67990420.47,79760682.7,72405701.96,67351494.92,73263739.53,65834723.72,76871865.35,71243841.41,0,0,0,0,0,0,NA,1_TG(16:0_18:1_22:5)+NH4 | 1_TG(18:1_18:1_20:4)+NH4,2334344 | 1599321,TG,[M+NH4]+,Yes,TG(16:0_18:1_22:5),[M+NH4]+
TG(16:0_17:0_18:1),8,864.8001492,23.06955,47702633.33,42261827.77,45137914.63,43974180.82,42297922.33,41083217.22,38777834.18,36547153.05,39152644.46,37083273.44,34774491.93,37017208.76,43562001.51,47947855.95,45932278.42,45188522.43,48897372.08,49024348.94,37414530.5,38067553.79,39259816.43,35677065.45,38912374.88,35128725.52,0,0,0,0,0,0,NA,1_TG(16:0_17:0_18:1)+NH4,998496,TG,[M+NH4]+,Yes,TG(16:0_17:0_18:1),[M+NH4]+
TG(16:0_17:1_18:1),26,862.784512,22.72915,22494723.61,21135303.71,20266568.71,21707470.8,20736174.41,21259050.26,19474275.63,19538475.27,20440643.03,19158091.25,18182703.43,19346499.18,21598132.08,23809021.09,23178611.19,22524659.65,24457819.18,24758701.36,18835910.57,20440412.5,18766341.52,19106936.77,20610171.19,17869538.4,0,0,0,0,0,0,NA,1_TG(16:0_17:1_18:1)+NH4 | 1_TG(16:0_17:0_18:2)+NH4 | 1_TG(15:0_18:1_18:1)+NH4 | 1_TG(17:0_17:1_17:1)+NH4,279834.57 | 244038.79 | 214629.62 | 115341.99,TG,[M+NH4]+,Yes,TG(16:0_17:1_18:1),[M+NH4]+
TG(16:0_16:0_20:5),54,870.753145,22.22633333,10644637.41,8559855.927,8018395.644,8709784.215,8340501.435,8596907.254,8752836.485,7033758.99,8437192.224,7387009.549,7206887.598,8279122.491,4954006.45,7331222.723,5315132.297,8171728.29,8615111.977,8430660.229,6672731.581,6389457.379,7137403.938,6720020.04,7261492.275,6710583.597,0,0,0,0,0,0,NA,1_TG(16:0_16:0_20:5)+NH4,363579.01,TG,[M+NH4]+,Yes,TG(16:0_16:0_20:5),[M+NH4]+
TG(16:0_16:1_18:1),121,848.7688236,22.5687,85218008.81,77416938.62,80098681.52,81252384.9,78459777.88,77528783.21,74329956.74,70093548.51,74174785.65,69334471.68,69443214.22,70773567.11,78097240.33,85379296.52,80539454.73,79040574.03,88039223.91,85615802.87,67640590.43,72574592.97,71286108.08,67312335.03,73092163.4,68547120.31,1181596.951,2362652.453,2405190.138,3718911.988,2555020.611,3513822.481,NA,1_TG(16:0_16:1_18:1)+NH4 | 1_TG(14:0_18:1_18:1)+NH4 | 1_TG(16:0_16:0_18:2)+NH4,1009644.4 | 764753.2 | 480020.95,TG,[M+NH4]+,Yes,TG(16:0_16:1_18:1),[M+NH4]+
TG(16:0_18:0_18:1),122,878.815766,23.27103333,287650331.7,264420627.5,284557263.8,278303592.7,269540371.9,259691909,252201848.4,231313880.7,247566698.1,232116797.6,231715805.9,238705007.7,257627997.8,295156598.5,285077794,269707967.7,289335073.8,284973682,229469348,230550908.2,231403438.3,220311036.1,243052684.7,228079629.3,7947126.952,8920437.671,9636126.972,8701110.859,9623549.272,9625626.354,NA,1_TG(16:0_18:0_18:1)+NH4,2753357.2,TG,[M+NH4]+,Yes,TG(16:0_18:0_18:1),[M+NH4]+
TG(16:0_18:1_18:3),124,872.7685479,22.32708333,97032163.75,85942445.51,84315948.07,84348466.75,85723719.35,88096203.53,83834050.06,80563188.5,87144139.92,84154752.01,81427640.81,81352728,66932593.26,80155501.68,67242289.31,85803906.15,87972259.6,92160080.26,77083679.32,74209578.34,78858128.3,75584366.7,79855317.48,75618571.62,2415191.586,3203552.423,4129714.462,2909074.599,3063638.528,2626213.264,NA,1_TG(16:0_18:1_18:3)+NH4 | 1_TG(16:0_16:0_20:4)+NH4 | 1_TG(16:0_18:2_18:2)+NH4,1397993.6 | 1242220.1 | 1219717.8,TG,[M+NH4]+,Yes,TG(16:0_18:1_18:3),[M+NH4]+
TG(16:0_18:1_20:5),125,896.7686353,22.24646667,59321266.31,52179985.81,43377777.96,44494040.36,47621319.58,53223950.59,56242861.68,50903598.69,56474715.07,50060224.79,49482086.3,49868643.04,27450699.28,38067518.4,26154739.78,42284938.98,43659416.1,50492404.67,45497095.86,35305058.66,46973795.15,44613502.38,48033791.82,42305923.04,851092.3167,3164076.983,2945609.334,783692.5024,1576004.833,1687056.416,NA,1_TG(16:0_18:1_20:5)+NH4 | 1_TG(16:0_18:2_20:4)+NH4 | 1_TG(18:1_18:2_18:3)+NH4 | 1_TG(18:2_18:2_18:2)+NH4,502348.5 | 429241.22 | 384450.54 | 304711.34,TG,[M+NH4]+,Yes,TG(16:0_18:1_20:5),[M+NH4]+
TG(16:0_18:1_20:4),129,898.7839274,22.3874,153705041.1,138220996.5,122405360.1,127647667,138111900.4,144004380.1,143409284.4,135191513.4,146179447.5,137220194.9,133472840.6,134484488.8,91662921.02,114828053.4,93945874.06,126652418,129350762.8,137695427.3,125052734.5,114014992,125553112.9,120017569.9,129666987.2,120941068.3,3885651.607,7155651.702,7559994.29,3987226.601,4823458.299,4137059.559,NA,1_TG(16:0_18:1_20:4)+NH4 | 1_TG(16:0_16:0_22:5)+NH4,1010843.52 | 972490.4,TG,[M+NH4]+,Yes,TG(16:0_18:1_20:4),[M+NH4]+
TG(16:0_16:0_18:1),130,850.784636,22.88981667,364979130.7,331356026.7,357490893.9,345010947.5,335873893.6,321556471.6,302432424.4,283007017.2,299578740.1,288890826.7,286292027.2,301557486.6,337939923.1,360970150.6,357597904.3,352269612.6,383354303.2,363628785.7,285830799.5,292781019,291810064.1,274737578.9,308602127.1,275150956.2,10922465.8,13541828.91,13554131.4,14136545.43,14038847.45,16268953.78,NA,1_TG(16:0_16:0_18:1)+NH4,2186107.8,TG,[M+NH4]+,Yes,TG(16:0_16:0_18:1),[M+NH4]+
TG(16:0_18:1_18:1),139,876.8002388,22.92935,563363438.8,507865194.8,543456862.8,532284867.5,526594168.3,504755144.1,466559061.3,447242624.6,476729654.6,455973492.7,467939832.1,470724866.5,504874549,548903026.9,543016814.6,550338914.2,574679870.9,562988982.2,453859674.9,461356196.1,466194829.8,440311351.2,469625033.5,448069844.1,23134161.75,24342490.1,25262347.91,23456506.15,23455022.73,25817853.7,NA,1_TG(16:0_18:1_18:1)+NH4 | 1_TG(16:1_18:0_18:1)+NH4 | 1_TG(16:0_18:0_18:2)+NH4,38811481 | 29304843.3 | 21737901.9,TG,[M+NH4]+,Yes,TG(16:0_18:1_18:1),[M+NH4]+
TG(16:0_18:1_18:2),140,874.7843789,22.62865,257241467.1,224511670.6,229475287.3,228707348.7,231498197.4,230420371,220456205,204644805.1,222633878.9,213160137.7,208569863.2,212380107.4,205328747,232879932.8,209334139.1,236372694.7,247965733,247054550.4,207922390.5,204194498.2,211549267.4,202626255.3,212572081.2,206741021.3,10606183.17,9878325.891,11130934.92,11115450.54,9604764.812,10380191.29,NA,1_TG(16:0_18:1_18:2)+NH4 | 1_TG(16:1_18:1_18:1)+NH4,914330 | 844515.3,TG,[M+NH4]+,Yes,TG(16:0_18:1_18:2),[M+NH4]+
TG(16:0_16:0_18:0),201,852.8000472,23.25118333,29165213.8,26523285.65,28674274.12,27992122.46,28322004.88,25593851.59,27057536.9,25026662.87,26117162.79,25406748.71,24623471.11,23865422.32,25272573.74,29868540.57,28906047.62,26601119.78,30003126.83,29177168.14,23618689.77,23457733.61,24656872.21,23861899.79,27313332.99,24335438.09,11961596.43,12538417.54,12895084.41,11379188.98,10981430.85,13787779.84,NA,1_TG(16:0_16:0_18:0)+NH4,2414336.7,TG,[M+NH4]+,Yes,TG(16:0_16:0_18:0),[M+NH4]+
TG(16:0_18:0_18:0),818,880.8312059,23.65663333,18700207.76,18150034.45,18230515.52,17234861.25,18249897.4,17979569.51,19243309.95,18323272.36,17103398.85,18465294.7,17652584.27,16662724.33,15045828.23,19765854.27,19398772.95,16936118.89,18631727.67,18850056.99,15969869.84,17511811.92,16697679.87,16769934.91,18419716.28,18159021.46,16936235.19,15881397.85,16006009.14,15613742.38,15784839.05,18450613.25,NA,1_TG(16:0_18:0_18:0)+NH4,824131.8,TG,[M+NH4]+,Yes,TG(16:0_18:0_18:0),[M+NH4]+
TG(17:0_18:1_18:1),18,890.8156319,23.10988333,29733909.32,26912645.22,27992774.7,27862362.98,27242426.99,26031680,25255122.45,23410831.92,24601313.28,23792362.77,23315864.36,24496587.01,26478447.71,30669775.08,29294073.47,28521974.12,30505110.52,30635704.39,24161493.31,23450181.95,24355317.2,23272528.43,24926937.43,23193820.86,0,0,0,0,0,0,NA,1_TG(17:0_18:1_18:1)+NH4,808721.5,TG,[M+NH4]+,Yes,TG(17:0_18:1_18:1),[M+NH4]+
TG(17:0_18:0_18:1),44,892.8312008,23.47425,15102812.45,12682862.9,14291211.34,13865168.03,13018941.53,12206588.71,13274143.28,11473647.63,12079785.32,9638683.991,11204953.26,11994644.64,13339951.26,15132220.02,14603758.87,13100939.76,15151802.73,15528232.13,11390504.69,11252368.3,11532326.58,10652276.24,12346990.28,10993495.41,0,0,0,0,0,0,NA,1_TG(17:0_18:0_18:1)+NH4,734860.4,TG,[M+NH4]+,Yes,TG(17:0_18:0_18:1),[M+NH4]+
TG(18:0_18:0_18:1),4,906.8468029,23.67673333,70630487.9,64686590.88,67175092.09,65236441.76,64200547.61,62755787.36,67717866.93,57909420.06,60216300.65,59688430.89,56925918.9,58287570.46,61514720.28,69641943.78,68903407.44,63101924.61,70368032.28,68320622.18,56425033.9,57192309.65,55051420.29,50411153.07,58655147.99,54677854.99,0,0,0,0,0,0,NA,1_TG(18:0_18:0_18:1)+NH4,1291893.8,TG,[M+NH4]+,Yes,TG(18:0_18:0_18:1),[M+NH4]+
TG(18:0_18:1_20:4),10,926.8155129,22.87003333,52926941.02,42021958.78,38180191.3,34574155.43,39104340.05,38538699.65,47222900.62,37566895.02,45586581.36,42188714.79,33824869.58,40429915.23,20002955.44,28446043.19,17796788.77,33555328.42,37713529.61,43111752,34303436.65,26295665.7,30091682.72,31966120.82,37731843.61,32977431.38,0,0,0,0,0,0,NA,1_TG(18:0_18:1_20:4)+NH4 | 1_TG(16:0_18:0_22:5)+NH4,1200899.8 | 806148.13,TG,[M+NH4]+,Yes,TG(18:0_18:1_20:4),[M+NH4]+
TG(18:0_18:1_20:3),28,928.8309827,23.06955,23214609.32,18194689.17,21260250.82,20034745.64,22274410.07,19658480.67,22488661.46,20783781.3,23129914.97,16028520.71,18406472.22,17822063.43,15067129.22,20585004.55,12712763.18,19705373.21,22205402.54,21651798.61,15543734.08,15165085.13,17159764.28,15935543.98,20453627.03,17227282.78,0,0,0,0,0,0,NA,1_TG(18:0_18:1_20:3)+NH4,933448.9,TG,[M+NH4]+,Yes,TG(18:0_18:1_20:3),[M+NH4]+
TG(18:0_18:1_18:1),115,904.8311436,23.29156667,230054409.4,209994597.1,225235303.5,222971843.2,211365895.8,207116334.9,214340740.8,195125454.2,212494369.1,197191194.4,194197632.7,193156424.8,207865457.9,233141495.5,225241022.6,214933730.5,229921322.5,226366617.4,188464088.9,192527956.9,189719421.1,178836184.7,194509810.9,183071459.7,4752394.503,6637322.267,6979314.968,5858439.257,7390641.463,6307359.052,NA,1_TG(18:0_18:1_18:1)+NH4,1684649.6,TG,[M+NH4]+,Yes,TG(18:0_18:1_18:1),[M+NH4]+
TG(18:0_18:1_18:2),151,902.815441,22.9691,311083607.2,279160172.1,290318730.2,290498894,282096851.9,277230908.4,270363953.8,251777709,274721564.5,260977404.7,262419531.4,253457361.4,264874419.5,286425906.7,277725242.2,289870293.6,306396568.7,298772122.8,256206430.8,250770187.9,250692564.1,244871091.7,259779670.3,241735681.2,16725315,16852191.51,18762410.28,15816599.38,18915177,18960906.1,NA,1_TG(18:0_18:1_18:2)+NH4 | 1_TG(16:0_18:0_20:3)+NH4 | 1_TG(18:1_18:1_18:1)+NH4 | 1_TG(18:0_18:0_18:3)+NH4,2944826.5 | 2184665.2 | 1835244.4 | 1781819.03,TG,[M+NH4]+,Yes,TG(18:0_18:1_18:2),[M+NH4]+
TG(18:0_18:0_18:0),880,908.8623999,24.12305,3417578.529,3195063.797,3498566.177,3096567.358,3835994.275,1957776.093,3777234.487,3168482.991,3445232.429,3901440.916,3217830.21,3248067.891,2879123.488,4056591.265,5092475.017,2984490.405,3509526.621,3541964.416,3508175.535,3841405.169,3487493.518,2915937.227,4196319.726,3692632.791,3731268.1,3591593.354,3925857.67,4248251.975,3861972.006,4105109.869,NA,1_TG(18:0_18:0_18:0)+NH4,554921.8,TG,[M+NH4]+,Yes,TG(18:0_18:0_18:0),[M+NH4]+
TG(18:1_18:1_20:5),14,922.7841671,22.28695,41007750.47,34679681.45,27064153.71,29784532.25,33060262.76,34311901.41,38629787.05,33710466.93,38221104.14,33388183.27,33373007.79,35127355.01,13293827.83,21180484.95,11241351.76,26174567.27,24011157.73,30323002.7,28748757.45,22242060.39,28267051.08,28612390.76,31307835.3,28516123.53,0,0,0,0,0,0,NA,1_TG(18:1_18:1_20:5)+NH4,605363.5,TG,[M+NH4]+,Yes,TG(18:1_18:1_20:5),[M+NH4]+
TG(18:1_18:1_22:5),40,950.8155215,22.5687,17672986.31,15633718.87,11213404.25,12530889.99,13576983.09,14647764.97,15577877.17,15305512.12,16430734.33,15155430.34,14939661,14448245.92,6843376.416,9234177.01,6471990.699,11047747.48,10370057.79,13354444.21,12670935.73,10863711.65,12104860.88,11716161.48,13859105.47,12029432.32,0,0,0,0,0,0,NA,1_TG(18:1_18:1_22:5)+NH4,789784.5,TG,[M+NH4]+,Yes,TG(18:1_18:1_22:5),[M+NH4]+
TG(18:1_18:1_18:2),150,900.7996538,22.66858333,221668449.3,196752186.7,191483879.2,195482922.4,203329372.1,202737361.6,197648433.7,183729204,204263364.9,191164910.8,184527813.2,190594438.3,158684234.5,183874055.3,162857747.2,194660590.6,203272222.9,208199934.8,179543742.9,174885195.3,184808781.6,180942388,186281045.1,176548447,11015364.62,13223184.36,13143327.28,10197926.29,12495535.19,11772713.11,NA,1_TG(18:1_18:1_18:2)+NH4 | 1_TG(16:0_18:1_20:3)+NH4 | 1_TG(18:0_18:1_18:3)+NH4 | 1_TG(18:0_18:2_18:2)+NH4,8241814 | 6721409.8 | 6622993 | 4845885.1,TG,[M+NH4]+,Yes,TG(18:1_18:1_18:2),[M+NH4]+
PE(32:1),478,690.5057471,15.69468333,46183294.12,37869305.99,41320063.8,45239574.11,42596500.47,42702725.46,39490940.16,36413028.32,42611908.76,40136598.97,40804366.22,47025440.59,40155825.25,45260389.06,41715028.61,47070084.82,48797679.57,46874032.01,47282964.92,47007516.1,45600383.48,44439886,43953002.63,45721451.91,360629.1423,0,95509.32554,138082.0712,262632.9393,205383.1013,NA,3_PE(32:1)+H,1071954.5,PE,[M+H]+,Yes,PE(32:1),[M+H]+
PE(32:2),70,688.4903834,14.91515,5314207.69,4861727.44,4493033.754,5559975.615,4443962.065,5411445.335,3671959.217,3650509.635,3537257.304,4034975.168,4883745.605,5372199.119,4427749.59,4908879.711,3673226.175,6711060.92,5592648.385,5525224.172,4345089.962,5016457.973,4676886.969,5251800.821,4401947.34,5541966.026,0,0,0,0,0,0,NA,3_PE(32:2)+H,354035.5,PE,[M+H]+,Yes,PE(32:2),[M+H]+
PE(34:0),174,720.5529125,17.5106,23906975.05,21947740.07,22697448.18,25044754.75,22973769.78,23783045.91,20898517.84,20867945.18,20704436.47,21293632.76,20413408.28,21466842.85,21358360.48,24564015.58,23126476.52,24457652.56,24420874.98,22893524.18,19962421.12,21216391.28,20473155.74,20480700.58,19239687.04,21386081.8,4150167.458,2352809.323,3443365.365,4291368.802,4584947.55,3922823.138,NA,3_PE(34:0)+H,1054762.5,PE,[M+H]+,Yes,PE(34:0),[M+H]+
PE(38:2),206,772.5837695,17.88168333,1481395.627,1123157.679,1276301.158,1606490.676,1395543.613,1462508.679,944744.6564,657050.9751,1038437.687,742132.9319,739139.0672,1224537.61,1167042.999,1095912.089,1170913.381,1237344.981,1384352.431,1163274.789,972373.4474,1162204.988,1248981.999,889287.3316,757477.6744,1217419.195,6553041.549,6012452.981,5167277.386,6188754.558,6427739.567,6182867.391,NA,3_PE(38:2)+H,195411.8,PE,[M+H]+,Yes,PE(38:2),[M+H]+
PE(38:3),238,770.5693811,17.41173333,75527823.4,62024696.18,59368576.62,71828474.57,66185957.32,67789425.84,46139059.91,45069689.67,43895601.74,43284184.7,43768250.55,62301696.26,46254506.43,60235279.51,55727576.65,68650687.67,68065125.61,70352537.8,51813236.01,52784815.23,53019140.07,52280443.23,53846419.95,56901989.64,13601449.21,11357828.66,6814436.848,15563214.11,13385944.34,4821012.812,NA,3_PE(38:3)+H,781345.1,PE,[M+H]+,Yes,PE(38:3),[M+H]+
PE(38:5),243,766.5373741,16.17131667,140700966.3,123324893.1,99018408.52,128077507.9,113145231.8,136912656.2,123063197.6,114010757.8,129921765.7,124972141.9,126581455.7,146207139.2,66235355.42,86129862.58,67242746.11,112338979.7,109751902.2,114053084.7,124954825.4,109723194.9,117030957.4,109246056.5,111366983.6,127353351.1,291275442.6,307711699.1,284687150.5,317302578.8,285431708.5,295216606.9,NA,3_PE(38:5)+H,7217884,PE,[M+H]+,Yes,PE(38:5),[M+H]+
PE(38:6),256,764.5212843,15.87353333,14211556.12,3390179.602,9476600.689,14782855.02,11313608.02,12001103.97,14144020.69,12548545.51,9078231.083,6904611.853,11705236.04,16582159.65,6365818.956,7224946.649,5589002.904,9237630.782,7473448.886,11041835.35,11363544.21,9480238.121,10156048.48,12440444.39,11197728.68,12625498.9,69441958.14,67699413.41,67293287.48,71425042.21,68802087.86,68869184.54,NA,3_PE(38:6)+H,1590247.7,PE,[M+H]+,Yes,PE(38:6),[M+H]+
PE(40:5),224,794.5684744,17.16783333,96409369.72,77872309.93,71671642.08,82958991.56,79550302.83,83869567.36,64948680.8,65022342.67,66381308.25,65868100.28,64909477.5,82566256.26,47450581.51,61043793.91,50597717.24,77087401.14,73690108.5,75706458.39,69089707.32,66844589.04,67649651.52,69537660.35,70037920.19,75866921.29,25761859.46,25414247.33,25597304.77,27511014.97,23607024.21,23336970.03,NA,3_PE(40:5)+H,681655.7,PE,[M+H]+,Yes,PE(40:5),[M+H]+
PG(34:1),96,766.5586163,15.51571667,89664581.79,84029697.68,70835400.77,91021700.42,87707439.01,83791657.84,88259281.22,81785384.23,88852455.36,85207954.58,87588064.34,91872291.03,87294890.79,87853278.48,90477661.66,88026289.58,90002850.11,87999142.92,88170951.3,93154135.75,91362491.85,84867884.73,85330442.67,87196134.26,730347.4224,136037.9907,393061.7986,1107776.999,368286.9009,714061.5543,NA,3_PG(34:1)+NH4,1379619,PG,[M+NH4]+,Yes,PG(34:1),[M+NH4]+
